key,conn,conn_head_sem_class,frequency,conn_total_count
accordingly+Contingency.Cause,accordingly,Contingency.Cause,88,91
because+Contingency.Cause,because,Contingency.Cause,2705,2847
so+Contingency.Cause,so,Contingency.Cause,1054,1079
consequently+Contingency.Cause,consequently,Contingency.Cause,201,204
thus+Contingency.Cause,thus,Contingency.Cause,286,297
but+Contingency.Cause,but,Contingency.Cause,7,4102
and+Contingency.Cause,and,Contingency.Cause,183,4477
therefore+Contingency.Cause,therefore,Contingency.Cause,140,142
as+Contingency.Cause,as,Contingency.Cause,688,1370
since+Contingency.Cause,since,Contingency.Cause,309,415
after+Contingency.Cause,after,Contingency.Cause,59,651
when+Contingency.Cause,when,Contingency.Cause,114,1215
then+Contingency.Cause,then,Contingency.Cause,20,760
hence+Contingency.Cause,hence,Contingency.Cause,17,18
specifically+Contingency.Cause,specifically,Contingency.Cause,2,1177
thereby+Contingency.Cause,thereby,Contingency.Cause,12,12
finally+Contingency.Cause,finally,Contingency.Cause,3,51
furthermore+Contingency.Cause,furthermore,Contingency.Cause,2,358
indeed+Contingency.Cause,indeed,Contingency.Cause,9,505
ultimately+Contingency.Cause,ultimately,Contingency.Cause,6,51
once+Contingency.Cause,once,Contingency.Cause,8,95
rather+Contingency.Cause,rather,Contingency.Cause,1,153
subsequently+Contingency.Cause,subsequently,Contingency.Cause,2,50
also+Contingency.Cause,also,Contingency.Cause,1,2206
for+Contingency.Cause,for,Contingency.Cause,4,4
plus+Contingency.Cause,plus,Contingency.Cause,1,8
if+Contingency.Cause,if,Contingency.Cause,1,1234
overall+Contingency.Cause,overall,Contingency.Cause,1,43
eventually+Contingency.Cause,eventually,Contingency.Cause,1,6
